province_code,province_name,region_id,ssp_office_id
1,กรุงเทพมหานคร,2,2
2,สมุทรปราการ,2,6
3,นนทบุรี,2,13
4,ปทุมธานี,2,13
5,พระนครศรีอยุธยา,2,13
6,อ่างทอง,2,13
7,ลพบุรี,2,11
8,สิงห์บุรี,2,13
9,ชัยนาท,2,7
10,สระบุรี,2,11
11,ชลบุรี,5,6
12,ระยอง,5,6
13,จันทบุรี,5,6
14,ตราด,5,6
15,ฉะเชิงเทรา,5,6
16,ปราจีนบุรี,5,11
17,นครนายก,2,11
18,สระแก้ว,5,11
19,นครราชสีมา,4,8
20,บุรีรัมย์,4,8
21,สุรินทร์,4,8
22,ศรีสะเกษ,4,16
23,อุบลราชธานี,4,16
24,ยโสธร,4,16
25,ชัยภูมิ,4,8
26,อำนาจเจริญ,4,16
27,หนองบัวลำภู,4,4
28,ขอนแก่น,4,4
29,อุดรธานี,4,12
30,เลย,4,12
31,หนองคาย,4,12
32,มหาสารคาม,4,4
33,ร้อยเอ็ด,4,4
34,กาฬสินธุ์,4,4
35,สกลนคร,4,12
36,นครพนม,4,12
37,มุกดาหาร,4,16
38,เชียงใหม่,6,17
39,ลำพูน,6,17
40,ลำปาง,6,15
41,อุตรดิตถ์,6,10
42,แพร่,6,15
43,น่าน,6,15
44,พะเยา,6,15
45,เชียงราย,6,17
46,แม่ฮ่องสอน,6,17
47,นครสวรรค์,2,5
48,อุทัยธานี,2,5
49,กำแพงเพชร,2,5
50,ตาก,3,10
51,สุโขทัย,2,10
52,พิษณุโลก,2,10
53,พิจิตร,2,5
54,เพชรบูรณ์,2,10
55,ราชบุรี,3,3
56,กาญจนบุรี,3,3
57,สุพรรณบุรี,2,7
58,นครปฐม,2,7
59,สมุทรสาคร,2,7
60,สมุทรสงคราม,2,3
61,เพชรบุรี,3,3
62,ประจวบคีรีขันธ์,3,3
63,นครศรีธรรมราช,1,9
64,กระบี่,1,1
65,พังงา,1,1
66,ภูเก็ต,1,1
67,สุราษฎร์ธานี,1,9
68,ระนอง,1,1
69,ชุมพร,1,9
70,สงขลา,1,14
71,สตูล,1,14
72,ตรัง,1,1
73,พัทลุง,1,9
74,ปัตตานี,1,14
75,ยะลา,1,14
76,นราธิวาส,1,14
77,บึงกาฬ,4,12
