facility_type_id,facility_type_code,facility_type_name_th
1,sites_correct_total,สถานที่กำจัดขยะมูลฝอยที่ถูกต้อง (แห่ง)
2,sites_incorrect_total,สถานที่กำจัดขยะมูลฝอยที่ไม่ถูกต้อง (แห่ง)
3,transfer_station,สถานีขนถ่ายขยะมูลฝอย (แห่ง)
4,sanitary_landfill,การฝังกลบถูกหลักวิชาการ (แห่ง)
5,composting,การหมักทำปุ๋ย (แห่ง)
6,wte_incinerator,เตาเผาผลิตพลังงาน (WTE) (แห่ง)
7,incinerator_with_apc,เตาเผามีระบบบำบัดมลพิษอากาศ (แห่ง)
8,mbt,MBT (แห่ง)
9,rdf,RDF (แห่ง)
10,mixed_method,ผสมผสาน (แห่ง)
11,controlled_dump_lt50,เทกองควบคุม (<50 ตัน/วัน) (แห่ง)
12,controlled_dump_gt50,เทกองควบคุม (>50 ตัน/วัน) (แห่ง)
13,incinerator_no_apc,เตาเผาไม่มีระบบบำบัดมลพิษอากาศ (แห่ง)
14,open_dump,การเทกอง (แห่ง)
15,open_burning,เผากำจัดกลางแจ้ง (แห่ง)
16,other_dump,อื่น ๆ ที่มีการเทกอง/เทกองควบคุมในสถานที่ (แห่ง)
