year_be,hw_generated_ton,hw_weee_ton,hw_other_ton,hw_collected_total_ton,hw_col_factory_101_105_106,hw_col_battery_smelter,hw_col_provincial,hw_col_ewaste_project,hw_col_ppp_project,hw_col_secondhand_dealer,hw_col_trade_in_project,hw_managed_correct_total_ton,hw_mgd_factory_101_105_106,hw_mgd_battery_smelter,hw_mgd_provincial,hw_mgd_ewaste_project,hw_mgd_ppp_project,hw_mgd_secondhand_dealer,hw_mgd_trade_in_project
2556,,,,,,,,,,,,,,,,,,,
2557,,,,,,,,,,,,,,,,,,,
2558,,,,,,,,,,,,,,,,,,,
2559,,,,,,,,,,,,,,,,,,,
2560,,,,,,,,,,,,,,,,,,,
2561,,,,,,,,,,,,,,,,,,,
2562,,,,,,,,,,,,,,,,,,,
2563,,,,,,,,,,,,,,,,,,,
2564,,,,,,,,,,,,,,,,,,,
2565,23.0,25.0,66.0,78.0,,,,,,,,33.0,,,,,,,
2566,680386.0,442251.0,238135.0,152160.0,44803.9,45037.08,1862.61,17.7,19.85,,,143599.0,39928.81,43580.44,1798.22,17.7,19.85,,
2567,685999.0,445899.0,240100.0,154723.0,46595.95,42989.0,1660.03,16.26,43.3,63037.33,377.0,152017.0,45540.49,42906.0,1563.36,16.26,43.3,61566.31,377.0
2568,1089929.23,708454.0,381475.23,33759.86,,27288.25,1455.5,25.43,4.78,,4985.9,33765.73,,27288.25,1461.37,25.43,4.78,,4985.9
2569,,,,,,,,,,,,,,,,,,,
2570,,,,,,,,,,,,,,,,,,,
