year_be,province_name,metric_name,value_country_page,value_province_page
2556,นราธิวาส,ขยะมูลฝอยที่ถูกนำกลับมาใช้ประโยชน์ (ตัน/วัน),255.04,225.04
2556,อุตรดิตถ์,ขยะมูลฝอยที่ถูกกำจัดไม่ถูกต้อง (ตัน/วัน),259.19,259.13
2556,เพชรบุรี,ขยะมูลฝอยที่ถูกกำจัดถูกต้อง (ตัน/วัน),30.72,30.82
2557,กำแพงเพชร,ขยะมูลฝอยตกค้าง (ตัน),10940.0,10940.25
2557,ตาก,ขยะมูลฝอยที่เกิดขึ้น (ตัน/วัน),672.0,678.0
2557,นครปฐม,ขยะมูลฝอยตกค้าง (ตัน),353105.0,355105.0
2557,อุดรธานี,ขยะมูลฝอยที่ถูกกำจัดไม่ถูกต้อง (ตัน/วัน),632.0,362.0
2558,สมุทรสงคราม,ขยะมูลฝอยที่ถูกกำจัดไม่ถูกต้อง (ตัน/วัน),160.0,161.0
2558,สุรินทร์,ขยะมูลฝอยตกค้าง (ตัน),10805.3,40805.3
2559,ตราด,ขยะมูลฝอยที่ถูกนำกลับมาใช้ประโยชน์ (ตัน/วัน),61.96,61.69
2559,นครนายก,ขยะมูลฝอยที่ถูกนำกลับมาใช้ประโยชน์ (ตัน/วัน),36.62,36.63
2559,นครสวรรค์,ขยะมูลฝอยที่ถูกนำกลับมาใช้ประโยชน์ (ตัน/วัน),227.63,277.63
2559,สมุทรสงคราม,ขยะมูลฝอยที่ถูกกำจัดไม่ถูกต้อง (ตัน/วัน),147.07,148.07
2559,อุดรธานี,ขยะมูลฝอยที่ถูกนำกลับมาใช้ประโยชน์ (ตัน/วัน),726.76,762.76
2560,ขอนแก่น,ขยะมูลฝอยตกค้าง (ตัน),147745.0,172745.0
2561,กระบี่,ขยะมูลฝอยตกค้าง (ตัน),60261.18,60241.18
2561,ตรัง,ขยะมูลฝอยที่ถูกนำกลับมาใช้ประโยชน์ (ตัน/วัน),355.5,335.5
2561,ตรัง,ขยะมูลฝอยที่ถูกกำจัดไม่ถูกต้อง (ตัน/วัน),247.99,247.88
2561,นครราชสีมา,ขยะมูลฝอยที่ถูกกำจัดถูกต้อง (ตัน/วัน),577.94,557.94
2561,มุกดาหาร,ขยะมูลฝอยที่ถูกนำกลับมาใช้ประโยชน์ (ตัน/วัน),233.08,223.08
2561,ยโสธร,ขยะมูลฝอยที่ถูกนำกลับมาใช้ประโยชน์ (ตัน/วัน),355.73,355.43
2561,ลำพูน,ขยะมูลฝอยที่ถูกนำกลับมาใช้ประโยชน์ (ตัน/วัน),101.69,101.68
2561,อุตรดิตถ์,ขยะมูลฝอยตกค้าง (ตัน),3728.25,3428.25
2561,เพชรบูรณ์,ขยะมูลฝอยที่ถูกกำจัดไม่ถูกต้อง (ตัน/วัน),386.59,386.83
2561,แม่ฮ่องสอน,ขยะมูลฝอยที่ถูกกำจัดถูกต้อง (ตัน/วัน),16.4,30.0
2562,กาญจนบุรี,ขยะมูลฝอยที่ถูกกำจัดถูกต้อง (ตัน/วัน),106.86,160.86
2562,ฉะเชิงเทรา,ขยะมูลฝอยที่ถูกกำจัดไม่ถูกต้อง (ตัน/วัน),589.68,598.68
2562,นครนายก,ขยะมูลฝอยที่เกิดขึ้น (ตัน/วัน),294.07,2940.7
2562,นครสวรรค์,ขยะมูลฝอยที่ถูกกำจัดถูกต้อง (ตัน/วัน),378.52,378.53
2562,นราธิวาส,ขยะมูลฝอยที่ถูกกำจัดถูกต้อง (ตัน/วัน),95.92,95.93
2562,ปัตตานี,ขยะมูลฝอยที่ถูกกำจัดถูกต้อง (ตัน/วัน),75.6,75.0
2562,สกลนคร,ขยะมูลฝอยที่เกิดขึ้น (ตัน/วัน),1131.59,1131.85
2563,กรุงเทพมหานคร,ขยะมูลฝอยที่ถูกนำกลับมาใช้ประโยชน์ (ตัน/วัน),3672.5,3675.5
2563,กาฬสินธุ์,ขยะมูลฝอยตกค้าง (ตัน),27533.0,27577.0
2563,นครสวรรค์,ขยะมูลฝอยที่ถูกกำจัดไม่ถูกต้อง (ตัน/วัน),98.0,89.0
2563,ประจวบคีรีขันธ์,ขยะมูลฝอยที่ถูกกำจัดไม่ถูกต้อง (ตัน/วัน),141.6,141.0
2563,พะเยา,ขยะมูลฝอยที่ถูกกำจัดไม่ถูกต้อง (ตัน/วัน),142.2,142.0
2563,สระบุรี,ขยะมูลฝอยที่ถูกกำจัดไม่ถูกต้อง (ตัน/วัน),223.05,223.0
2563,อ่างทอง,ขยะมูลฝอยที่ถูกนำกลับมาใช้ประโยชน์ (ตัน/วัน),245.0,345.0
2563,เชียงใหม่,ขยะมูลฝอยที่ถูกนำกลับมาใช้ประโยชน์ (ตัน/วัน),309.1,309.19
2564,ชลบุรี,ขยะมูลฝอยตกค้าง (ตัน),824618.0,774618.0
2564,นครพนม,ขยะมูลฝอยตกค้าง (ตัน),4504.0,4505.0
2564,นครราชสีมา,ขยะมูลฝอยตกค้าง (ตัน),146558.0,146560.0
2564,นครศรีธรรมราช,ขยะมูลฝอยตกค้าง (ตัน),1248620.0,1248619.0
2564,น่าน,ขยะมูลฝอยตกค้าง (ตัน),10603.0,10560.0
