province_code,province_name,region_name,year_be,generated_ton_day,recycled_ton_day,disposed_correct_ton_day,disposed_incorrect_ton_day,residual_ton,pct_recycled,pct_disposed_correct,pct_disposed_incorrect,generated_yoy_pct,facility_type_diversity,total_sites,pct_sites_improper,trend_pct_per_year,trend_label,behavior_cluster,behavior_cluster_label
1,กรุงเทพมหานคร,ภาคกลาง,2556,11335.0,1410.0,9925.0,0.0,0.0,12.44,87.56,0.0,,3,5.0,0.0,1.22,ค่อนข้างคงที่ (stable),0.0,กลุ่มนำกลับมาใช้ประโยชน์สูง
1,กรุงเทพมหานคร,ภาคกลาง,2557,10800.0,1600.0,9200.0,0.0,0.0,14.81,85.19,0.0,-4.719894133215707,4,8.0,0.0,1.22,ค่อนข้างคงที่ (stable),0.0,กลุ่มนำกลับมาใช้ประโยชน์สูง
1,กรุงเทพมหานคร,ภาคกลาง,2558,11500.0,1310.0,10190.0,0.0,0.0,11.39,88.61,0.0,6.481481481481488,3,5.0,0.0,1.22,ค่อนข้างคงที่ (stable),0.0,กลุ่มนำกลับมาใช้ประโยชน์สูง
1,กรุงเทพมหานคร,ภาคกลาง,2559,11530.0,1320.0,10210.0,0.0,0.0,11.45,88.55,0.0,0.2608695652173809,4,7.0,0.0,1.22,ค่อนข้างคงที่ (stable),0.0,กลุ่มนำกลับมาใช้ประโยชน์สูง
1,กรุงเทพมหานคร,ภาคกลาง,2560,13327.0,2738.0,10589.0,0.0,0.0,20.54,79.46,0.0,15.585429314830868,4,7.0,0.0,1.22,ค่อนข้างคงที่ (stable),0.0,กลุ่มนำกลับมาใช้ประโยชน์สูง
1,กรุงเทพมหานคร,ภาคกลาง,2561,13240.49,2521.87,10718.62,0.0,0.0,19.05,80.95,0.0,-0.6491333383357056,4,7.0,0.0,1.22,ค่อนข้างคงที่ (stable),0.0,กลุ่มนำกลับมาใช้ประโยชน์สูง
1,กรุงเทพมหานคร,ภาคกลาง,2562,13583.48,3029.98,10553.5,0.0,0.0,22.31,77.69,0.0,2.590463041775637,4,7.0,0.0,1.22,ค่อนข้างคงที่ (stable),0.0,กลุ่มนำกลับมาใช้ประโยชน์สูง
1,กรุงเทพมหานคร,ภาคกลาง,2563,12281.7,3672.5,8609.2,0.0,0.0,29.9,70.1,0.0,-9.583552962863706,4,7.0,0.0,1.22,ค่อนข้างคงที่ (stable),0.0,กลุ่มนำกลับมาใช้ประโยชน์สูง
1,กรุงเทพมหานคร,ภาคกลาง,2564,12214.0,3564.0,8650.0,0.0,0.0,29.18,70.82,0.0,-0.5512266217217565,4,12.0,0.0,1.22,ค่อนข้างคงที่ (stable),0.0,กลุ่มนำกลับมาใช้ประโยชน์สูง
1,กรุงเทพมหานคร,ภาคกลาง,2565,12890.0,3840.0,9050.0,0.0,0.0,29.79,70.21,0.0,5.534632389061733,4,10.0,0.0,1.22,ค่อนข้างคงที่ (stable),0.0,กลุ่มนำกลับมาใช้ประโยชน์สูง
